id_transaccion,comercio,fecha,monto,categoria_comercio,edad_cliente,metodo_pago,es_fraude
L1-000001,HogarFacil,2025-02-26,3.61,MODA,46.0,efectivo,0
L1-000002,TiendaExpress,2025-06-20,153.42,Hogar,46.0,tarjeta debito,0
L1-000003,LibreriaCentral,2025-02-28,19.06,moda,32.0,Transferencia,0
L1-000004,ModaViva,2025-05-04,150.74,Moda,23.0,tarjeta credito,0
L1-000005,DeportesTotal,2025-03-05,84.89,Automotriz,44.0,transferencia,0
L1-000006,TecnoCenter,2025-01-10,144.56,educacion,18.0,Tarjeta Debito,0
L1-000007,AutoRepuestos,2025-01-17,53.51,deportes,40.0,Tarjeta Debito,0
L1-000008,HogarFacil,2025-05-23,98.61,AUTO,67.0,efectivo,0
L1-000009,AutoRepuestos,2025-02-20,11.1,moda,25.0,tarjeta credito,0
L1-000010,AutoRepuestos,2025-01-17,143.34,retail,44.0,TD,0
L1-000011,SuperMax,2025-01-05,38.69,Automotriz,41.0,EFE,0
L1-000012,GourmetPlus,2025-04-27,103.28,retail,38.0,Tarjeta Debito,0
L1-000013,AutoRepuestos,2025-01-16,72.34,tecnologia,30.0,Tarjeta Credito,0
L1-000014,AutoRepuestos,2025-04-30,47.11,AUTO,33.0,Transferencia,0
L1-000015,LibreriaCentral,2025-06-21,114.42,hogar,47.0,TD,0
L1-000016,DeportesTotal,2025-06-29,138.33,Retail,18.0,Tarjeta Credito,0
L1-000017,HogarFacil,2025-02-28,81.16,AUTO,21.0,Transferencia,0
L1-000018,HogarFacil,2025-01-21,35.17,DEP,39.0,TD,0
L1-000019,FarmaVida,2025-02-03,37.37,MODA,38.0,Transferencia,0
L1-000020,SuperMax,2025-04-20,60.85,tecnologia,30.0,efectivo,0
L1-000021,SuperMax,2025-02-08,149.95,RETAIL,58.0,,0
L1-000022,TiendaExpress,2025-06-13,129.38,moda,18.0,Efectivo,0
L1-000023,ModaViva,2025-05-28,71.96,tecnologia,48.0,Transferencia,0
L1-000024,AutoRepuestos,2025-05-05,88.45,FARM,39.0,Efectivo,0
L1-000025,SuperMax,2025-05-08,98.75,ALIM,26.0,Tarjeta Debito,0
L1-000026,TiendaExpress,2025-01-05,114.9,EDU,20.0,TRANSF,0
L1-000027,HogarFacil,2025-02-17,98.04,retail,28.0,tarjeta debito,0
L1-000028,LibreriaCentral,2025-03-06,64.22,MODA,40.0,efectivo,0
L1-000029,TiendaExpress,2025-01-16,1.0,tecnologia,55.0,EFE,0
L1-000030,GourmetPlus,2025-03-04,101.08,educacion,30.0,TC,0
L1-000031,TecnoCenter,2025-01-02,50.93,Hogar,25.0,Tarjeta Debito,0
L1-000032,SuperMax,2025-02-11,65.91,tecnologia,64.0,tarjeta credito,0
L1-000033,TiendaExpress,2025-04-12,36.76,DEP,33.0,TD,0
L1-000034,GourmetPlus,2025-03-09,65.58,HOG,44.0,Tarjeta Debito,0
L1-000035,LibreriaCentral,2025-06-14,,HOG,28.0,efectivo,0
L1-000036,ModaViva,2025-04-28,104.05,Alimentos,31.0,Transferencia,0
L1-000037,LibreriaCentral,2025-05-02,118.41,Alimentos,32.0,Tarjeta Debito,0
L1-000038,HogarFacil,2025-03-23,61.09,AUTO,41.0,transferencia,0
L1-000039,TiendaExpress,2025-02-06,114.49,ALIM,42.0,Tarjeta Debito,0
L1-000040,LibreriaCentral,2025-04-03,89.6,Retail,,transferencia,0
L1-000041,ModaViva,2025-03-30,112.86,tecnologia,,Tarjeta Credito,0
L1-000042,ModaViva,2025-06-28,46.46,FARM,23.0,TC,0
L1-000043,LibreriaCentral,2025-05-20,58.53,AUTO,,Tarjeta Credito,0
L1-000044,LibreriaCentral,2025-06-08,135.1,Educacion,35.0,Efectivo,0
L1-000045,TecnoCenter,2025-05-22,40.2,Automotriz,34.0,Tarjeta Credito,0
L1-000046,TecnoCenter,2025-06-27,7.99,Tecnologia,36.0,tarjeta debito,0
L1-000047,FarmaVida,2025-06-10,90.18,Retail,39.0,Tarjeta Debito,0
L1-000048,HogarFacil,2025-03-15,52.16,Hogar,18.0,EFE,0
L1-000049,FarmaVida,2025-05-05,52.46,Deportes,35.0,Tarjeta Credito,1
L1-000050,TiendaExpress,2025-04-03,2521.37,DEP,25.0,,0
L1-000051,AutoRepuestos,2025-06-24,128.26,TECH,,Tarjeta Credito,0
L1-000052,ModaViva,2025-05-17,122.56,Hogar,,tarjeta credito,0
L1-000053,ModaViva,2025-01-07,91.05,Moda,49.0,TRANSF,0
L1-000054,DeportesTotal,2025-03-07,86.03,Educacion,36.0,EFE,0
L1-000055,TiendaExpress,2025-04-22,91.21,moda,34.0,Transferencia,0
L1-000056,LibreriaCentral,2025-05-07,87.9,Moda,66.0,Transferencia,0
L1-000057,HogarFacil,2025-03-09,1219.02,tecnologia,39.0,transferencia,0
L1-000058,TecnoCenter,2025-05-17,41.08,Alimentos,48.0,tarjeta debito,0
L1-000059,TiendaExpress,2025-02-15,129.71,moda,25.0,Efectivo,0
L1-000060,AutoRepuestos,2025-03-24,57.64,tecnologia,,efectivo,0
L1-000061,HogarFacil,2025-03-28,103.88,Alimentos,35.0,TRANSF,0
L1-000062,ModaViva,2025-06-18,126.9,Farmacia,36.0,tarjeta credito,0
L1-000063,LibreriaCentral,2025-02-10,64.16,retail,24.0,tarjeta credito,0
L1-000064,TiendaExpress,2025-04-11,141.71,Moda,26.0,Transferencia,0
L1-000065,LibreriaCentral,2025-06-08,19.66,Educacion,49.0,tarjeta debito,0
L1-000066,LibreriaCentral,2025-05-28,104.62,alimentos,39.0,TD,0
L1-000067,HogarFacil,2025-04-22,91.82,alimentos,44.0,Tarjeta Debito,0
L1-000068,DeportesTotal,2025-06-28,1320.79,deportes,47.0,tarjeta debito,0
L1-000069,DeportesTotal,2025-05-13,140.18,Retail,38.0,TC,0
L1-000070,TiendaExpress,2025-02-18,84.66,deportes,46.0,TRANSF,0
L1-000071,GourmetPlus,2025-03-03,107.31,Alimentos,45.0,efectivo,0
L1-000072,TecnoCenter,2025-04-19,94.15,tecnologia,54.0,tarjeta credito,0
L1-000073,SuperMax,2025-03-04,86.8,Deportes,47.0,TC,0
L1-000074,LibreriaCentral,2025-02-01,25.08,alimentos,40.0,Transferencia,0
L1-000075,SuperMax,2025-04-24,74.46,Hogar,18.0,TRANSF,0
L1-000076,AutoRepuestos,2025-01-07,36.36,TECH,,tarjeta credito,0
L1-000077,HogarFacil,2025-01-28,122.75,Farmacia,37.0,tarjeta debito,0
L1-000078,FarmaVida,2025-05-26,124.48,Hogar,52.0,EFE,0
L1-000079,HogarFacil,2025-05-24,111.35,MODA,49.0,Tarjeta Credito,0
L1-000080,FarmaVida,2025-03-14,139.9,RETAIL,41.0,tarjeta debito,0
L1-000081,SuperMax,2025-06-11,26.4,tecnologia,45.0,transferencia,0
L1-000082,FarmaVida,2025-04-27,47.4,Tecnologia,21.0,tarjeta debito,0
L1-000083,AutoRepuestos,2025-06-06,102.96,Deportes,34.0,tarjeta debito,0
L1-000084,SuperMax,2025-05-31,71.98,Alimentos,56.0,Tarjeta Credito,0
L1-000085,GourmetPlus,2025-02-17,14.93,Retail,29.0,Efectivo,0
L1-000086,FarmaVida,2025-01-23,158.37,Educacion,55.0,tarjeta debito,0
L1-000087,FarmaVida,2025-03-10,55.63,automotriz,29.0,transferencia,0
L1-000088,TecnoCenter,2025-04-15,119.71,alimentos,63.0,EFE,0
L1-000089,AutoRepuestos,2025-04-29,73.1,TECH,29.0,TD,0
L1-000090,TiendaExpress,2025-02-11,155.25,Educacion,29.0,Transferencia,0
L1-000091,ModaViva,2025-05-25,70.72,moda,25.0,TRANSF,0
L1-000092,TecnoCenter,2025-01-08,78.36,Tecnologia,49.0,tarjeta credito,0
L1-000093,AutoRepuestos,2025-06-10,,retail,,TD,0
L1-000094,FarmaVida,2025-03-12,106.71,HOG,33.0,Transferencia,0
L1-000095,HogarFacil,2025-06-19,68.67,AUTO,52.0,TC,0
L1-000096,FarmaVida,2025-01-12,5.4,MODA,,Efectivo,0
L1-000097,FarmaVida,2025-02-05,99.12,retail,,EFE,0
L1-000098,DeportesTotal,2025-05-17,17.92,MODA,27.0,TRANSF,0
L1-000099,FarmaVida,2025-03-06,98.56,moda,,Tarjeta Debito,0
L1-000100,LibreriaCentral,2025-05-12,96.66,DEP,38.0,tarjeta debito,0
L1-000101,LibreriaCentral,2025-05-01,131.77,Automotriz,45.0,TRANSF,0
L1-000102,LibreriaCentral,2025-01-24,136.56,AUTO,18.0,TC,0
L1-000103,GourmetPlus,2025-01-30,38.02,Deportes,26.0,tarjeta credito,0
L1-000104,GourmetPlus,2025-02-18,108.61,Automotriz,51.0,Tarjeta Credito,0
