id_estudiante,curso,fecha_inscripcion,horas_estudio,porcentaje_avance,calificacion_final,pais,dispositivo
EST00384,Machine Learning Básico,04-12-2025,16.5,50.7%,8.16,Ecuador,Computador
EST00611,Estadística Aplicada,21-09-2025,12.6,59.4%,6.63,colombia,Movil
EST00453,Visualización de Datos,11/29/2025,293.7,,7.33,COLOMBIA,Computador
EST00853,SQL Fundamentals,2025-09-26,17.6,67.9%,6.87,ECU,Tablet
EST00437,Estadística Aplicada,08/02/2025,5.0,47.3%,5.26,Ecuador,MOVIL
EST00692,SQL Fundamentals,22/10/2025,,,,Ecuador,movil
EST00908,Machine Learning Básico,2025-08-12,27.4,22.5%,7.91,Ecuador,movil
EST00519,Machine Learning Básico,02/02/2025,18.3,88.9%,7.11,ECUADOR,Movil
EST00023,Estadística Aplicada,07/06/2025,16.3,81.7%,7.54,MEX,Computador
EST00172,SQL Fundamentals,11-05-2025,17.7,97.9%,7.46,peru,MOVIL
EST00595,Excel Avanzado,21/12/2025,17.0,38.0%,8.31,colombia,Computador
EST00671,SQL Fundamentals,17-10-2025,26.5,65.1%,7.02,Ecuador,computador
EST00914,Python para Datos,2025-07-29,12.0,33.8%,6.9,ECU,Movil
EST00132,Visualización de Datos,23/01/2025,14.9,44.3%,6.98,COL,computador
EST00125,SQL Fundamentals,11/08/2025,20.0,100%,, Ecuador,MOVIL
EST00880,Excel Avanzado,2025-04-28,15.2,64.7%,,ECU,movil
EST00699,Estadística Aplicada,14-08-2025,,60.1%,8.72,chile,MOVIL
EST00809,Estadística Aplicada,13-08-2025,9.8,71.2%,7.55,Colombia,movil
EST00139,Estadística Aplicada,29/12/2025,15.1,44.7%,10.07,COL,Movil
EST00700,Excel Avanzado,17-06-2025,16.1,59.0%,8.44,Chile,Computador
EST00688,Excel Avanzado,,13.9,60.5%,6.25,Ecuador,Tablet
EST00216,SQL Fundamentals,2025-02-07,10.4,72.3%,7.63,MEX,Movil
EST00941,Estadística Aplicada,2025-12-27,11.5,61.4%,2.7,Ecuador,Computador
EST00004,Estadística Aplicada,2025-12-04,9.2,64.0%,6.72, peru,movil
EST00438,Visualización de Datos,25-06-2025,11.1,56.1%,8.47,,Computador
EST00694,Visualización de Datos,03/01/2025,25.9,58.4%,7.06,Perú,movil
EST00594,Machine Learning Básico,2025-06-26,8.1,47.9%,-5.0,PER,Computador
EST00051,Estadística Aplicada,05-09-2025,16.9,100%,10.14, peru,MOVIL
EST00435,SQL Fundamentals,22/09/2025,19.7,54.7%,8.03,COL,
