id,nombre,categoria,precio,stock
1,Hub USB-C,Accesorios,643.66,18
2,Parlante Portátil,Audio,297.43,42
3,Extensor de Red,Redes,760.5,183
4,Cable HDMI,Accesorios,139.41,199
5,Silla Gamer,Gaming,79.4,33
6,Monitor Portátil v3,Monitores,344.87,36
7,Hub USB-C,Accesorios,165.29,91
8,Router WiFi 6,Redes,587.88,117
9,Cable de Red Cat6 v3,Redes,104.59,97
10,Monitor Gamer 144Hz,Monitores,9.38,113
11,Mini PC,Computadoras,444.54,13
12,Monitor Portátil v5,Monitores,760.46,195
13,PC de Escritorio v3,Computadoras,569.0,69
14,Webcam HD,Perifericos,199.99,65
15,Monitor Portátil,Monitores,423.38,165
16,Adaptador USB WiFi v3,Redes,831.84,55
17,All in One 24,Computadoras,206.43,73
18,Mini PC,Computadoras,767.79,54
19,Smartwatch Deportivo,Moviles,258.61,12
20,Monitor 4K,Monitores,71.98,53
21,Hub USB-C,Accesorios,446.51,193
22,Smartwatch Deportivo,Moviles,845.05,52
23,Control Inalámbrico v3,Gaming,275.57,74
24,Teclado Mecánico,Perifericos,465.45,154
25,Mini PC v3,Computadoras,447.28,97
26,Parlante Portátil,Audio,853.82,192
27,Volante para Consola,Gaming,79.69,63
28,Cable de Red Cat6 v2,Redes,179.62,49
29,Micrófono USB v4,Audio,860.67,162
30,Licencia Antivirus,Software,356.22,110
31,All in One 24 v3,Computadoras,793.03,17
32,Monitor 4K,Monitores,649.16,69
33,Teclado Numérico,Perifericos,220.79,17
34,Suite de Diseño,Software,662.83,4
35,Disco SSD 512GB v3,Almacenamiento,323.33,137
36,Laptop Gamer,Computadoras,265.67,68
37,Licencia Office v3,Software,242.52,114
38,Smartphone Gama Media v2,Moviles,320.49,114
39,Tarjeta de Regalo Gaming,Gaming,407.19,121
40,Control Inalámbrico,Gaming,482.38,40
41,Licencia Office,Software,558.19,111
42,Monitor 24 pulgadas v2,Monitores,386.26,84
43,Smartphone Gama Media v3,Moviles,897.03,109
44,Silla Gamer,Gaming,313.14,9
45,Hub USB-C,Accesorios,495.39,25
46,Barra de Sonido,Audio,44.97,119
47,All in One 24,Computadoras,232.99,187
48,Organizador de Cables,Accesorios,12.31,10
49,Tablet 10 v5,Moviles,309.38,32
50,PC de Escritorio,Computadoras,816.92,81
