id_viaje,tipo_vehiculo,fecha_inicio,hora_inicio,duracion_minutos,distancia_km,costo,zona,edad_usuario,metodo_pago
VJ000035,Bicicleta,2025-07-01,20:49,15.1,2.14,2.7,CENTRO,27.0,BILLETERA DIGITAL
VJ002248,Bici,2025-07-18,08:07,15.6,4.01,,,33.0,efectivo
VJ002713,bicicleta,2025-07-14,07:13,10.7,2.78,1.98,CENTRO,23.0,Billetera digital
VJ001773,BICICLETA,2025-08-27,18:33,15.7,3.09,2.03,Centro,29.0,TARJETA
VJ002858,PATINETA,2025-06-11,07:21,5.3,0.95,1.05,NORTE,38.0,Tarjeta
VJ002158,Bicicleta,2025-08-06,07:09,16.3,3.09,2.54,norte,,tarjeta
VJ002089,Bicicleta,2025-08-05,19:57,17.3,2.77,2.97,SAMBORONDON,56.0,TARJETA
VJ000800,patineta,2025-07-05,07:06,8.4,1.71,0.83, Norte,,
VJ000756, Patineta,2025-07-15,18:16,10.3,2.19,2.07,Norte,40.0,TARJETA
VJ000391, Patineta,2025-08-15,19:11,13.0,3.15,1.69,Norte,39.0,Tarjeta
VJ002151,BICICLETA,2025-07-17,06:54,15.0,3.19,1.91,sur,34.0,Billetera digital
VJ000245,Bici,2025-08-28,12:13,9.7,2.52,1.53,sur,29.0,Billetera digital
VJ002066,Bicicleta,2025-07-13,06:29,1.0,0.1,0.82,Sur,28.0,billetera digital
VJ002478,Bicicleta,2025-08-18,11:20,7.6,1.63,1.02,centro,,tarjeta
VJ002035,BICICLETA,2025-07-23,18:26,20.1,4.53,3.04,Samborondon,44.0,EFECTIVO
VJ002001,Scooter,2025-08-12,10:10,23.9,4.13,3.49,Norte,22.0,Tarjeta
VJ001140,bicicleta,2025-08-11,04:53,20.9,4.12,3.26,Centro ,,Efectivo
VJ002127,Scooter,2025-07-03,19:14,13.3,2.47,2.2, Norte,41.0,TARJETA
VJ002637,bicicleta,2025-06-19,21:48,19.5,2.76,3.13,Norte,49.0,TARJETA
VJ001261,Patineta,2025-07-21,18:44,16.2,2.56,2.03,Norte,29.0,TARJETA
VJ002107, Bicicleta,2025-07-05,13:03,13.8,2.32,,sur,,Efectivo
VJ002613,Bici,2025-07-23,13:37,13.4,3.45,2.7,Centro ,35.0,Billetera digital
VJ001219,bicicleta,2025-07-07,07:34,4.1,0.82,1.22,CENTRO,37.0,TARJETA
VJ002204, Patineta,2025-06-10,19:07,3.3,0.64,0.76,CENTRO,42.0,Tarjeta
VJ001991,bicicleta,2025-06-11,13:06,10.6,2.29,1.79, Norte,,Tarjeta
VJ002115,Bici,2025-06-07,16:22,9.9,1.43,1.92,NORTE,16.0,TARJETA
VJ002311,BICICLETA,2025-06-03,19:06,6.1,1.38,0.88,norte,17.0,Efectivo
VJ000452,PATINETA,2025-08-23,06:41,16.7,3.32,2.74,samborondon,16.0,efectivo
VJ001006, Bicicleta,2025-08-10,13:57,10.2,2.06,1.7, Norte,26.0,billetera digital
VJ001519,BICICLETA,2025-08-06,06:09,15.6,3.19,2.71,Centro,35.0,EFECTIVO
VJ002015,PATINETA,2025-07-14,11:26,33.0,4.77,4.26,norte,30.0,TARJETA
VJ001746,patineta,2025-07-24,18:30,18.9,3.43,2.46,Centro ,16.0,Tarjeta
VJ000403,BICICLETA,2025-07-05,12:15,15.9,2.21,2.01,centro,24.0,Tarjeta
VJ001296,Bici,2025-07-07,02:10,11.4,2.58,1.96,norte,28.0,TARJETA
VJ002154,bicicleta,2025-06-16,07:09,6.9,1.29,1.41,Samborondon,30.0,Efectivo
VJ000163,Bici,2025-06-25,17:20,12.2,2.37,2.53,sur,26.0,Billetera Digital
VJ001723,PATINETA,2025-06-26,18:40,7.1,1.6,0.98,Centro,37.0,EFECTIVO
VJ000648,bicicleta,2025-08-19,17:02,18.1,2.5,2.47,centro,16.0,Billetera digital
VJ002094, Patineta,2025-07-05,12:35,15.0,3.29,2.23,,31.0,tarjeta
VJ001270,bicicleta,2025-06-14,14:00,25.8,4.93,3.21,Centro ,41.0,TARJETA
VJ000637,Bici,2025-06-09,01:27,1.0,0.1,0.51, Norte,23.0,TARJETA
VJ000089,bicicleta,2025-08-12,18:21,24.5,4.08,3.66,NORTE,38.0,efectivo
VJ002289,BICICLETA,2025-07-27,10:46,30.9,4.41,4.53,centro,5.0,TARJETA
VJ001412,patineta,2025-06-02,16:30,1.0,0.1,0.58,Sur,19.0,efectivo
VJ002160,Bicicleta,2025-06-08,10:02,16.6,3.17,2.63,Norte,,BILLETERA DIGITAL
VJ000902,Bicicleta,2025-08-12,13:06,27.6,4.15,3.46,centro,36.0,TARJETA
VJ002476,PATINETA,2025-06-17,08:26,11.8,2.36,1.78,SAMBORONDON,21.0,Tarjeta
VJ000451,Bicicleta,2025-07-06,15:05,12.6,3.35,1.89,SAMBORONDON,35.0,BILLETERA DIGITAL
VJ001426,Scooter,2025-08-06,12:47,7.5,1.97,0.97,Samborondon,56.0,Efectivo
VJ002683,bicicleta,2025-08-22,17:24,14.9,3.15,2.33,NORTE,31.0,Tarjeta
VJ002767,Scooter,2025-08-07,22:57,21.1,3.82,2.66,Norte,33.0,TARJETA
VJ000057,Bici,2025-08-13,19:11,14.2,2.82,2.34,centro,23.0,TARJETA
VJ000809,bicicleta,2025-07-20,19:48,14.4,3.27,,Centro ,21.0,EFECTIVO
VJ001345, Bicicleta,2025-08-15,07:52,21.9,3.96,3.06,centro,,billetera digital
VJ000744,bicicleta,2025-08-29,06:21,21.9,4.3,3.25,Norte,24.0,Efectivo
VJ000761,bicicleta,2025-06-06,07:01,12.8,2.93,,Centro,31.0,EFECTIVO
VJ002541,BICICLETA,2025-08-20,07:25,12.3,2.9,2.26,samborondon,29.0,tarjeta
VJ000364,patineta,2025-08-23,12:56,18.1,3.53,2.74,,22.0,Billetera digital
VJ001625, Patineta,2025-06-11,14:25,10.5,1.67,1.56,samborondon,28.0,Tarjeta
VJ001396,PATINETA,2025-06-10,08:54,16.1,2.49,2.46,CENTRO,44.0,Billetera digital
VJ002650,patineta,2025-07-05,11:58,20.5,3.83,2.58,Norte,34.0,TARJETA
VJ002121,Bicicleta,2025-06-07,17:49,12.4,2.75,1.66,Centro,,Billetera Digital
VJ001689, Bicicleta,2025-06-17,18:00,2.7,0.54,0.7,Sur,29.0,efectivo
VJ000362,Bici,2025-08-10,21:10,9.8,2.28,1.8,Norte,33.0,BILLETERA DIGITAL
VJ000969,Scooter,2025-07-07,11:04,251.6,1.88,1.85,NORTE,25.0,tarjeta
VJ001812,bicicleta,2025-06-03,20:36,11.2,2.74,1.93,Centro ,55.0,Efectivo
VJ001935,bicicleta,2025-06-12,18:43,18.4,4.21,2.62,sur,24.0,EFECTIVO
VJ001855, Patineta,2025-07-11,07:29,21.1,3.52,2.92,sur,35.0,tarjeta
VJ002841,Bici,2025-07-06,17:39,1.9,0.47,0.31,Centro,21.0,efectivo
VJ002183,Scooter,2025-08-25,00:11,11.8,3.02,1.45,CENTRO,29.0,TARJETA
VJ000907,bicicleta,2025-07-09,13:27,7.6,1.73,1.24,norte,32.0,EFECTIVO
VJ001453,Patineta,2025-06-14,13:52,8.7,2.29,1.81,centro,,Tarjeta
VJ001815,patineta,2025-06-03,13:35,7.7,1.87,1.54,Samborondon,24.0,efectivo
VJ002028,Scooter,2025-06-10,12:18,12.6,2.15,2.21,Sur,19.0,tarjeta
VJ001069,Scooter,2025-06-14,11:38,8.2,1.5,1.63,,,Tarjeta
VJ002498,BICICLETA,2025-06-30,12:42,3.6,0.59,0.94,SAMBORONDON,17.0,Tarjeta
VJ002316,bicicleta,2025-06-27,07:18,4.0,0.93,0.74,CENTRO,,Billetera digital
VJ000934,Bici,2025-06-03,08:09,4.9,1.05,1.12,Centro,26.0,EFECTIVO
VJ000538,Scooter,2025-07-09,10:03,6.4,1.43,1.58,norte,24.0,Tarjeta
VJ000402,Bici,2025-07-24,11:30,20.3,2.89,3.34,CENTRO,28.0,tarjeta
VJ001120,Bici,2025-07-06,13:09,23.9,3.36,3.42,Centro,110.0,billetera digital
VJ002453,Patineta,2025-08-01,15:30,1.0,0.1,,norte,37.0,Tarjeta
VJ002389,bicicleta,2025-06-09,12:10,29.2,4.43,3.91, Norte,45.0,Tarjeta
VJ002693, Patineta,2025-08-21,13:23,8.9,1.85,1.36,centro,,Tarjeta
VJ000501,patineta,2025-08-29,09:14,12.6,2.06,1.89,Centro,43.0,Tarjeta
VJ000078,Bici,2025-06-26,19:00,5.8,1.47,1.17,NORTE,37.0,efectivo
VJ002304,BICICLETA,2025-07-10,18:59,5.0,1.31,1.26,Samborondón,,EFECTIVO
VJ001638,Patineta,2025-07-13,11:58,6.9,1.34,1.69,SAMBORONDON,34.0,Billetera Digital
VJ002435,Scooter,2025-06-14,22:54,457.0,2.44,2.11,,29.0,billetera digital
VJ001215,bicicleta,2025-06-06,08:29,15.9,2.49,2.56,NORTE,27.0,Tarjeta
VJ002878, Bicicleta,2025-07-06,07:48,11.7,1.65,1.76,NORTE,34.0,Tarjeta
VJ000834,bicicleta,2025-06-14,18:52,15.7,2.67,2.12,SUR,20.0,Efectivo
VJ000669,Bicicleta,2025-06-20,21:00,13.5,2.31,1.93,norte,23.0,tarjeta
VJ002286,patineta,2025-06-16,06:30,11.8,3.04,1.57,NORTE,29.0,efectivo
VJ001903, Bicicleta,2025-06-24,19:08,16.5,3.32,2.7,CENTRO,31.0,tarjeta
VJ001680,Patineta,2025-06-04,07:37,20.6,3.17,3.12,Centro,,Efectivo
VJ002497,bicicleta,2025-08-10,12:39,8.0,1.91,1.34,centro,33.0,TARJETA
VJ001881, Patineta,2025-06-03,06:44,2.5,0.53,0.69,samborondon,48.0,Efectivo
VJ001058,patineta,2025-06-04,11:24,9.8,2.11,1.74,centro,30.0,TARJETA
VJ001360,BICICLETA,2025-06-09,08:39,6.1,1.55,1.39,centro,34.0,billetera digital
VJ000512,Patineta,2025-06-07,08:48,212.5,2.07,1.4,NORTE,60.0,efectivo
VJ000831,Bici,2025-08-15,19:52,24.4,5.12,3.6,,29.0,tarjeta
VJ001512,bicicleta,2025-08-19,06:04,13.5,3.57,1.91,CENTRO,23.0,
VJ001624,patineta,2025-07-10,07:14,18.3,2.45,2.72,Centro ,30.0,BILLETERA DIGITAL
VJ000957,Bicicleta,2025-06-19,07:15,14.5,3.5,2.02, Norte,32.0,TARJETA
VJ000706, Bicicleta,2025-06-28,06:23,1.0,0.11,0.89,NORTE,23.0,tarjeta
VJ000530, Bicicleta,2025-06-18,18:12,180.2,3.53,2.83,Centro ,23.0,Efectivo
VJ000633,Patineta,2025-07-27,08:23,12.6,2.63,2.15,,,TARJETA
VJ000552,BICICLETA,2025-07-04,19:36,7.4,1.88,1.22,NORTE,17.0,tarjeta
VJ002420,Bicicleta,2025-08-02,17:18,18.2,2.52,3.01,sur,44.0,Efectivo
VJ001735,bicicleta,2025-08-24,08:17,7.8,1.92,,Centro,33.0,Billetera Digital
VJ001808,PATINETA,2025-07-13,11:03,16.9,3.17,2.29,sur,34.0,Tarjeta
VJ000448,bicicleta,2025-06-21,15:11,11.9,2.79,1.46,samborondon,26.0,Tarjeta
VJ001646,Bici,2025-06-10,17:34,14.0,3.62,1.88,Samborondón,38.0,billetera digital
VJ002276,BICICLETA,2025-07-18,19:42,5.1,1.09,0.83,centro,19.0,Tarjeta
VJ002273,Bici,2025-06-02,13:41,3.6,0.76,0.94,SUR,18.0,Tarjeta
VJ000910,PATINETA,2025-08-15,11:34,1.0,0.14,0.3,centro,,Tarjeta
VJ001880,Patineta,2025-06-15,07:48,13.2,3.29,,norte,36.0,TARJETA
VJ001374,BICICLETA,2025-08-18,19:08,7.2,1.28,1.59,Centro ,24.0,tarjeta
VJ000027,Bici,2025-06-29,19:14,8.5,1.8,1.53,Sur,41.0,Tarjeta
VJ001910,Patineta,2025-08-06,21:46,12.5,2.02,1.87,norte,16.0,Tarjeta
VJ000626,patineta,2025-07-02,05:46,19.5,4.97,2.77,Sur,38.0,Tarjeta
VJ000990,PATINETA,2025-08-12,23:32,17.6,0.0,2.24,NORTE,45.0,Tarjeta
VJ001245,Bici,2025-08-09,02:15,9.4,1.64,1.54,NORTE,32.0,TARJETA
VJ000557,Patineta,2025-06-19,06:36,9.3,1.95,1.9,Centro ,43.0,billetera digital
VJ001490, Patineta,2025-06-29,23:57,19.8,4.35,2.69,Centro ,25.0,Tarjeta
VJ000081, Patineta,2025-08-26,09:05,14.8,-2.0,2.49,SAMBORONDON,16.0,Efectivo
VJ001750, Bicicleta,2025-06-04,05:49,13.1,2.45,1.97,,23.0,Billetera Digital
VJ002411,Scooter,2025-08-20,19:03,29.6,5.15,3.98,norte,20.0,billetera digital
VJ002091,bicicleta,2025-06-12,08:14,18.5,3.37,3.13,Sur,34.0,tarjeta
VJ002766,Scooter,2025-07-22,21:43,13.6,3.55,2.16,SAMBORONDON,42.0,Tarjeta
VJ000803,patineta,2025-06-10,06:41,13.0,2.44,1.58,NORTE,36.0,Billetera digital
VJ002305,Scooter,2025-08-16,06:13,23.3,4.12,3.05,NORTE,22.0,TARJETA
VJ002592,bicicleta,2025-08-18,09:44,9.6,-2.0,1.3,centro,34.0,efectivo
VJ000135,Patineta,2025-08-19,19:33,16.2,3.12,2.17,Centro,39.0,Efectivo
VJ002399, Bicicleta,2025-07-12,12:56,9.5,1.84,1.31,norte,50.0,TARJETA
VJ000553,BICICLETA,2025-06-15,09:50,1.0,0.1,0.87,SAMBORONDON,27.0,TARJETA
VJ000953,BICICLETA,2025-08-13,05:02,17.0,3.49,3.2,centro,25.0,EFECTIVO
VJ002242, Bicicleta,2025-06-08,20:15,11.2,1.69,1.17,Norte,42.0,tarjeta
VJ001582,PATINETA,2025-06-24,20:44,11.8,3.02,1.34,centro,33.0,Billetera digital
VJ000167,PATINETA,2025-07-27,14:56,7.4,1.78,1.01,Sur,39.0,Billetera Digital
VJ000457,Scooter,2025-06-16,02:50,14.0,2.59,1.57,Samborondón,19.0,TARJETA
VJ001960,Scooter,2025-06-05,22:44,17.7,4.44,2.96,SAMBORONDON,20.0,Tarjeta
VJ000324,bicicleta,2025-08-02,07:27,11.6,2.62,1.83,centro,30.0,Tarjeta
VJ002806,patineta,2025-07-02,07:54,12.2,2.86,2.3,Norte,36.0,Tarjeta
VJ000862,Bici,2025-06-28,12:42,14.7,2.75,2.24,norte,24.0,Tarjeta
VJ001364,Bici,2025-07-11,06:20,17.5,3.31,2.83, Norte,,tarjeta
VJ001722,Bici,2025-06-09,07:28,290.1,3.02,2.91,Samborondón,23.0,
VJ002058,BICICLETA,2025-07-11,20:22,8.4,1.69,1.54,NORTE,31.0,Billetera Digital
